,citing_int_id,cited_int_id,intent_labels,section_name,citance,context,citing_ss_id,citing_title,citing_year,citing_authors,cited_ss_id,cited_title,cited_year,cited_authors
1494,D09-1143,P06-1117,[5],conclusion,"Regarding future work , there are many research line that may be followed : i ) Capturing more features by employing external knowledge such as ontological , lexical resource or WordNetbased features <CITATION/> or shallow semantic trees , <TARGET_CITATION/> .","For the design of automatic relation classifiers, we have investigated the impact of dependency structures to the RE task. Our novel composite kernels, which account for the two syntactic structures, are experimented with the appropriate convolution kernels and show significant improvement with respect to the stateoftheart in RE. Regarding future work , there are many research line that may be followed : i ) Capturing more features by employing external knowledge such as ontological , lexical resource or WordNetbased features <CITATION/> or shallow semantic trees , <TARGET_CITATION/> . Regarding future work, there are many research line that may be followed: i) Capturing more features by employing external knowledge such as ontological, lexical resource or WordNetbased features <CITATION/> or shallow semantic trees, <CITATION/>. Our novel composite kernels, which account for the two syntactic structures, are experimented with the appropriate convolution kernels and show significant improvement with respect to the stateoftheart in RE. For the design of automatic relation classifiers, we have investigated the impact of dependency structures to the RE task.",a1435f9443794a882be226393dabaa2c6de0e6d3,"Convolution Kernels on Constituent, Dependency and Sequential Structures for Relation Extraction",2009,Truc-Vien T. Nguyen; Alessandro Moschitti; G. Riccardi,0f96123f18df8ce0656c6adb4c37edd10ee87d30,"Semantic Role Labeling via FrameNet, VerbNet and PropBank",2006,Ana-Maria Giuglea; Alessandro Moschitti
1499,W06-1705,External_25127,[0],introduction,"Most webderived corpora have exploited raw text or HTML pages , so efforts have focussed on boilerplate removal and cleanup of these formats with tools like HyppiaBTE , Tidy and Parcels3 <TARGET_CITATION/> .","We can evaluate annotation speed gains of our approach comparatively against the single server version by utilising processing power in computer labs at Lancaster University and the United States Naval Academy (USNA) and we will call for volunteers from the corpus community to be involved in the evaluation as well. A key aspect of our case study research will be to investigate extending corpus collection to new document types. Most webderived corpora have exploited raw text or HTML pages , so efforts have focussed on boilerplate removal and cleanup of these formats with tools like HyppiaBTE , Tidy and Parcels3 <TARGET_CITATION/> . Most webderived corpora have exploited raw text or HTML pages, so efforts have focussed on boilerplate removal and cleanup of these formats with tools like HyppiaBTE, Tidy and Parcels3 <CITATION/>. A key aspect of our case study research will be to investigate extending corpus collection to new document types. We can evaluate annotation speed gains of our approach comparatively against the single server version by utilising processing power in computer labs at Lancaster University and the United States Naval Academy (USNA) and we will call for volunteers from the corpus community to be involved in the evaluation as well.",a4a0bc10f9ab6d11196172e33b31c37c76f413a7,Annotated Web as corpus,2006,Paul Rayson; J. Walkerdine; William H. Fletcher; A. Kilgarriff,,creating specialized and general corpora using automated search engine queries web as corpus workshop,2005,M Baroni; S Sharoff
1500,P02-1001,External_220,[0],introduction,Undesirable consequences of this fact have been termed  label bias '' <TARGET_CITATION/> .," An easy approach is to normalize the options at each state to make the FST Markovian. Unfortunately, the result may differ for equivalent FSTs that express the same weighted relation. Undesirable consequences of this fact have been termed  label bias '' <TARGET_CITATION/> . Undesirable consequences of this fact have been termed label bias'' <CITATION/>. Unfortunately, the result may differ for equivalent FSTs that express the same weighted relation.  An easy approach is to normalize the options at each state to make the FST Markovian.",683305450fcb46f6832108308fc436df1b9eb80e,Parameter Estimation for Probabilistic Finite-State Transducers,2002,Jason Eisner,f4ba954b0412773d047dc41231c733de0c1f4926,Conditional Random Fields: Probabilistic Models for Segmenting and Labeling Sequence Data,2001,J. Lafferty; A. McCallum; Fernando Pereira
1503,P13-3018,External_359,[0],introduction,"Their computational significance arises from the issue of their storage in lexical resources like WordNet <TARGET_CITATION/> and raises the questions like , how to store morphologically complex words , in a lexical resource like WordNet keeping in mind the storage and access efficiency .","A clear understanding of the structure and the processing mechanism of the mental lexicon will further our knowledge of how the human brain processes language. Further, these linguistically important and interesting questions are also highly significant for computational linguistics (CL) and natural language processing (NLP) applications. Their computational significance arises from the issue of their storage in lexical resources like WordNet <TARGET_CITATION/> and raises the questions like , how to store morphologically complex words , in a lexical resource like WordNet keeping in mind the storage and access efficiency . Their computational significance arises from the issue of their storage in lexical resources like WordNet <CITATION/> and raises the questions like, how to store morphologically complex words, in a lexical resource like WordNet keeping in mind the storage and access efficiency. Further, these linguistically important and interesting questions are also highly significant for computational linguistics (CL) and natural language processing (NLP) applications. A clear understanding of the structure and the processing mechanism of the mental lexicon will further our knowledge of how the human brain processes language.",97139bdadb6349ff46a4d970aaa8d8621cdc7cc8,Psycholinguistically Motivated Computational Models on the Organization and Processing of Morphologically Complex Words,2013,Tirthankar Dasgupta,d53bcbac7ea19173e95d3bd855b998fab765737d,WordNet: An Electronic Lexical Database,1998,Dekang Lin
1504,E03-1005,External_16080,[0],introduction,"Fortunately , there exists a compact PCFGreduction of DOP1 that generates the same trees with the same probabilities , as shown by <TARGET_CITATION/> ) .","Thus DOP1 considers counts of subtrees of a wide range of sizes in computing the probability of a tree: everything from counts of singlelevel rules to counts of entire trees. A disadvantage of this model is that an extremely large number of subtrees (and derivations) must be taken into account. Fortunately , there exists a compact PCFGreduction of DOP1 that generates the same trees with the same probabilities , as shown by <TARGET_CITATION/> ) . Fortunately, there exists a compact PCFGreduction of DOP1 that generates the same trees with the same probabilities, as shown by Goodman (1996, 2002). A disadvantage of this model is that an extremely large number of subtrees (and derivations) must be taken into account. Thus DOP1 considers counts of subtrees of a wide range of sizes in computing the probability of a tree: everything from counts of singlelevel rules to counts of entire trees.",a9d59174cc50b119ee4be19b3e65177431e37003,An efficient implementation of a new DOP model,2003,R. Bod,155a2680a1a7fe495d0ab47224fcdbbfb3d1caaa,Efficient Algorithms for Parsing the DOP Model,1996,J. Goodman
1505,J90-3003,External_73666,[0],introduction,"<TARGET_CITATION/> claims that prosodic phrase boundaries will cooccur with grammatical functions such as subject , predicate , modifier , and adjunct .","The syntax/prosody misalignment may be viewed as resulting in part from semantic considerations. Both predicateargument relations and discourse factors have been examined for their possible input to prosodic phrasing. <TARGET_CITATION/> claims that prosodic phrase boundaries will cooccur with grammatical functions such as subject , predicate , modifier , and adjunct . <CITATION/> claims that prosodic phrase boundaries will cooccur with grammatical functions such as subject, predicate, modifier, and adjunct. Both predicateargument relations and discourse factors have been examined for their possible input to prosodic phrasing. The syntax/prosody misalignment may be viewed as resulting in part from semantic considerations.",678083540de63943000e9e0f19ac07e5e3678d70,A Computational Grammar of Discourse-Neutral Prosodic Phrasing in English,1990,J. Bachenko; Eileen Fitzpatrick,217f96773aebf0f4ad5e3b84b5e567e4e3cc0520,Prosodic Systems and Intonation in English,1969,D. Crystal
1506,J00-1003,P97-1058,[2],,"We rephrase the method of <TARGET_CITATION/> as follows : First , we construct the approximating finite automaton according to the unparameterized RTN method above ."," We rephrase the method of <TARGET_CITATION/> as follows : First , we construct the approximating finite automaton according to the unparameterized RTN method above . We rephrase the method of <CITATION/> as follows: First, we construct the approximating finite automaton according to the unparameterized RTN method above.",b4846ad03c170c5779c24bf91c0fe002a0f8023d,Practical Experiments with Regular Approximation of Context-Free Languages,1999,M. Nederhof,5001ed3166af70a8ef296893b26f975a4f1de253,Approximating Context-Free Grammars with a Finite-State Calculus,1997,Edmund Grimley-Evans
1507,W06-2933,External_62,[4],experiments,6The analysis is reminiscent of the treatment of coordination in the Collins parser <TARGET_CITATION/> .,"In Turkish, very essential syntactic information is contained in the rich morphological structure, where 6The analysis is reminiscent of the treatment of coordination in the Collins parser <TARGET_CITATION/> . 6The analysis is reminiscent of the treatment of coordination in the Collins parser <CITATION/>.In Turkish, very essential syntactic information is contained in the rich morphological structure, where",f3719ad02a3164e87e5ef0b1de215354e4c9de92,Labeled Pseudo-Projective Dependency Parsing with Support Vector Machines,2006,Joakim Nivre; Johan Hall; Jens Nilsson; Gülşen Eryiğit; Svetoslav Marinov,,headdriven statistical models for natural language parsing,1999,M Collins
1508,W04-1805,External_89824,[1],introduction,The work is carried out in order to assist terminographers in the enrichment of a dictionary on computing that includes collocational information <TARGET_CITATION/> .,"The work reported here infers specific semantic relationships based on sets of examples and counterexamples. In this paper, the method is applied to a French corpus on computing to find nounverb combinations in which verbs convey a meaning of realization. The work is carried out in order to assist terminographers in the enrichment of a dictionary on computing that includes collocational information <TARGET_CITATION/> . The work is carried out in order to assist terminographers in the enrichment of a dictionary on computing that includes collocational information (L'<CITATION/>). In this paper, the method is applied to a French corpus on computing to find nounverb combinations in which verbs convey a meaning of realization. The work reported here infers specific semantic relationships based on sets of examples and counterexamples.",f0f0f7a282f76327e2d1b943b0053c9099e67a25,Discovering Specific Semantic Relationships between Nouns and Verbs in a Specialized French Corpus,2004,V. Claveau; Marie-Claude LHomme,9cad9f686a89dcb8588790c2c19dcc64f09b1005,Sélection de termes dans un dictionnaire d’informatique : comparaison de corpus et critères lexico-sémantiques,2004,M.-C. L'homme
1509,A00-1016,A97-1001,[0],introduction,"CornmandTalk <TARGET_CITATION/> , Circuit FixIt Shop <CITATION/> and TRAINS96 <CITATION/> are spoken language systems but they interface to simulation or help facilities rather than semiautonomous agents .","More recent work on spoken language interfaces to semiautonomous robots include SRI's Flakey robot <CITATION/> and NCARAI's InterBOT project <CITATION/>. A number of other systems have addressed part of the task. CornmandTalk <TARGET_CITATION/> , Circuit FixIt Shop <CITATION/> and TRAINS96 <CITATION/> are spoken language systems but they interface to simulation or help facilities rather than semiautonomous agents . CornmandTalk <CITATION/>, Circuit FixIt Shop <CITATION/> and TRAINS96 <CITATION/> are spoken language systems but they interface to simulation or help facilities rather than semiautonomous agents. A number of other systems have addressed part of the task. More recent work on spoken language interfaces to semiautonomous robots include SRI's Flakey robot <CITATION/> and NCARAI's InterBOT project <CITATION/>.",229eebe84ed75649e83ebebdd283f248a913aaef,A Compact Architecture for Dialogue Management Based on Scripts and Meta-Outputs,2000,Manny Rayner; Beth Ann Hockey; Frankie James,b35076035130ea7683fb30b3314957fe9684bde3,CommandTalk: A Spoken-Language Interface for Battlefield Simulations,1997,Robert C. Moore; J. Dowding; H. Bratt; J. Gawron; Y. Gorfu; Adam Cheyer
1510,J05-3003,External_13798,[2],method,"The annotation procedure is dependent on locating the head daughter , for which an amended version of <TARGET_CITATION/> is used .","We utilize the automatic annotation algorithm of <CITATION/> and Cahill, McCarthy, et al. (2004) to derive a version of PennII in which each node in each tree is annotated with LFG functional annotations in the form of attributevalue structure equations. The algorithm uses categorial, configurational, local head, and PennII functional and trace information. The annotation procedure is dependent on locating the head daughter , for which an amended version of <TARGET_CITATION/> is used . The annotation procedure is dependent on locating the head daughter, for which an amended version of <CITATION/> is used. The algorithm uses categorial, configurational, local head, and PennII functional and trace information. We utilize the automatic annotation algorithm of <CITATION/> and Cahill, McCarthy, et al. (2004) to derive a version of PennII in which each node in each tree is annotated with LFG functional annotations in the form of attributevalue structure equations.",ea681d3cc082bb8297d93f118f4355d4bd76f94c,Large-Scale Induction and Evaluation of Lexical Resources from the Penn-II and Penn-III Treebanks,2005,Ruth O'Donovan; Michael Burke; A. Cahill; Josef van Genabith; Andy Way,9e78155b28b1f4db52a7c9076c89e81ac4b7d8ce,Natural Language Parsing as Statistical Pattern Recognition,1994,David M. Magerman
1511,J97-4003,External_24530,[4],related work,<TARGET_CITATION/> ; Oliva 1994 ; Frank 1994 ; Opalka 1995 ; Sanfilippo 1995 ) .,"Lexical rules have not gone unchallenged as a mechanism for expressing generalizations over lexical information. In a number of proposals, lexical generalizations are captured using lexical underspecification <TARGET_CITATION/> . Riehemann 1993; Oliva 1994; Frank 1994; Opalka 1995; Sanfilippo 1995). In a number of proposals, lexical generalizations are captured using lexical underspecification (Kathol 1994; Krieger and Nerbonne 1992;Lexical rules have not gone unchallenged as a mechanism for expressing generalizations over lexical information.",d0dbffcb01f315774230a0450b2f4da8c6a608f7,A Computational Treatment of Lexical Rules in HPSG as Covariation in Lexical Entries,1997,Walt Detmar Meurers; Guido Minnen,,word formation in lexical type hierarchies a case study of baradjectives in german masters thesis,1993,Susanne Riehemann
1512,J00-2003,J97-4001,[0],introduction,"For instance , <TARGET_CITATION/> recently wrote :  To our knowledge , learning algorithms , although promising , have not ( yet ) reached the level of rule sets developed by humans '' ( p. 520 ) .","It is also conceivable that datadriven techniques can actually outperform traditional rules. However, this possibility is not usually given much credence. For instance , <TARGET_CITATION/> recently wrote :  To our knowledge , learning algorithms , although promising , have not ( yet ) reached the level of rule sets developed by humans '' ( p. 520 ) . For instance, <CITATION/> recently wrote: To our knowledge, learning algorithms, although promising, have not (yet) reached the level of rule sets developed by humans'' (p. 520). However, this possibility is not usually given much credence. It is also conceivable that datadriven techniques can actually outperform traditional rules.",18ff4f15416e34d9a56142e6f5d491567934e4fb,A multistrategy approach to improving pronunciation by analogy,2000,Y. Marchand; R. Damper,2a792467c88452a0013c2b61aecfb23cf178e015,Algorithms for Grapheme-Phoneme Translation for English and French: Applications for Database Searches and Speech Synthesis,1997,M. Divay; Anthony J. Vitale
1514,A00-1024,External_32929,[2],experiments,We use an inhouse statistical tagger ( based on <TARGET_CITATION/> ) to tag the text in which the unknown word occurs .,These identify two features of the unknown word itself as well as two features for each of the two preceding and two following words. The first feature represents the part of speech of the word. We use an inhouse statistical tagger ( based on <TARGET_CITATION/> ) to tag the text in which the unknown word occurs . We use an inhouse statistical tagger (based on <CITATION/>) to tag the text in which the unknown word occurs. The first feature represents the part of speech of the word. These identify two features of the unknown word itself as well as two features for each of the two preceding and two following words.,caa11f45ef1d8cdd6683a34b22407ec0f2c55d77,Categorizing Unknown Words: Using Decision Trees to Identify Names and Misspellings,2000,J. Toole,a7e084fe51a40eeaaf79bf0b78e837d5bc4a8e10,A Stochastic Parts Program and Noun Phrase Parser for Unrestricted Text,1988,Kenneth Ward Church
1515,W04-0910,External_51288,[2],introduction,"Based on a computational grammar that associates natural language expressions with both a syntactic and a semantic representation , a paraphrastic gram  As we shall briefly discuss in section 4 , the grammar is developed with the help of a metagrammar <TARGET_CITATION/> thus ensuring an additional level of abstraction .","On the other hand, the degree of descriptive abstraction offered by the list of inference or paraphrase rules they output is low. We chose to investigate an alternative research direction by aiming to develop a paraphrastic grammar'' that is, a grammar which captures the paraphrastic relations between linguistic structuress. Based on a computational grammar that associates natural language expressions with both a syntactic and a semantic representation , a paraphrastic gram  As we shall briefly discuss in section 4 , the grammar is developed with the help of a metagrammar <TARGET_CITATION/> thus ensuring an additional level of abstraction . Based on a computational grammar that associates natural language expressions with both a syntactic and a semantic representation, a paraphrastic gramAs we shall briefly discuss in section 4, the grammar is developed with the help of a metagrammar <CITATION/> thus ensuring an additional level of abstraction. We chose to investigate an alternative research direction by aiming to develop a paraphrastic grammar'' that is, a grammar which captures the paraphrastic relations between linguistic structuress. On the other hand, the degree of descriptive abstraction offered by the list of inference or paraphrase rules they output is low.",baa4bd0d1d3c6e3c7641177982283fbec39646f7,Paraphrastic grammars,2004,Claire Gardent; Marilisa Amoia; Évelyne Jacquey,,un outil multilingue de generation de ltag  application au francais et a l’italien,1999,M H Candito
1516,J09-4010,External_52005,[4],,There are very few reported attempts at corpusbased automation of helpdesk responses <TARGET_CITATION/> .,"In contrast, the techniques examined in this article are corpusbased and datadriven. The process of composing a planned response for a new request is informed by probabilistic and lexical properties of the requests and responses in the corpus. There are very few reported attempts at corpusbased automation of helpdesk responses <TARGET_CITATION/> . There are very few reported attempts at corpusbased automation of helpdesk responses <CITATION/>. The process of composing a planned response for a new request is informed by probabilistic and lexical properties of the requests and responses in the corpus. In contrast, the techniques examined in this article are corpusbased and datadriven.",a39cfe8ad45aebf7d6cb4f152a95d1187a9662d8,An Empirical Study of Corpus-Based Response Automation Methods for an E-mail-Based Help-Desk Domain,2009,Yuval Marom; Ingrid Zukerman,,mercure towards an automatic email followup system,2003,G Lapalme; L Kosseim
1518,D09-1056,External_2273,[0],related work,The disambiguation of person names in Web results is usually compared to two other Natural Language Processing tasks : Word Sense Disambiguation ( WSD ) <CITATION/> and Crossdocument Coreference ( CDC ) <TARGET_CITATION/> .,"In this section we will discuss (i) the state of the art in Web People Search in general, focusing on which features are used to solve the problem; and (ii) lessons learnt from the WePS evaluation campaign where most approaches to the problem have been tested and compared. The disambiguation of person names in Web results is usually compared to two other Natural Language Processing tasks : Word Sense Disambiguation ( WSD ) <CITATION/> and Crossdocument Coreference ( CDC ) <TARGET_CITATION/> . The disambiguation of person names in Web results is usually compared to two other Natural Language Processing tasks: Word Sense Disambiguation (WSD) <CITATION/> and Crossdocument Coreference (CDC) <CITATION/>. In this section we will discuss (i) the state of the art in Web People Search in general, focusing on which features are used to solve the problem; and (ii) lessons learnt from the WePS evaluation campaign where most approaches to the problem have been tested and compared.",a7b930b3297dfbb87813a8f47db1a45acaff76a4,The role of named entities in Web People Search,2009,J. Artiles; Enrique Amigó; Julio Gonzalo,,entitybased crossdocument coreferencing using the vector space model,1998,Amit Bagga; Breck Baldwin
1519,D12-1084,W11-1208,[3],related work,Our own work <TARGET_CITATION/> extends the first idea to paraphrase fragment extraction on monolingual parallel and comparable corpora .,<CITATION/> extract subsentential translation pairs from comparable corpora using the loglikelihoodratio of word translation probability. <CITATION/> extract fragments using a generative model of noisy translations. Our own work <TARGET_CITATION/> extends the first idea to paraphrase fragment extraction on monolingual parallel and comparable corpora . Our own work <CITATION/> extends the first idea to paraphrase fragment extraction on monolingual parallel and comparable corpora. <CITATION/> extract fragments using a generative model of noisy translations. <CITATION/> extract subsentential translation pairs from comparable corpora using the loglikelihoodratio of word translation probability.,a59a0185e02bf46b9f03274da718e87a24e7b8a8,Using Discourse Information for Paraphrase Extraction,2012,Michaela Regneri; Rui Wang,2a2a7b8a93ca9e7dad6c2223a6ebac7f33616869,Paraphrase Fragment Extraction from Monolingual Comparable Corpora,2011,Rui Wang; Chris Callison-Burch
1520,P11-1134,External_33256,[1],,"They proved to be useful in a number of NLP applications such as natural language generation <TARGET_CITATION/> , multidocument summarization <CITATION/> , automatic evaluation of MT <CITATION/> , and TE <CITATION/> .","1http://www.statmt.org/wmt10/Paraphrase tables (PPHT) contain pairs of corresponding phrases in the same language, possibly associated with probabilities. They proved to be useful in a number of NLP applications such as natural language generation <TARGET_CITATION/> , multidocument summarization <CITATION/> , automatic evaluation of MT <CITATION/> , and TE <CITATION/> . They proved to be useful in a number of NLP applications such as natural language generation <CITATION/>, multidocument summarization <CITATION/>, automatic evaluation of MT <CITATION/>, and TE <CITATION/>. Paraphrase tables (PPHT) contain pairs of corresponding phrases in the same language, possibly associated with probabilities. 1http://www.statmt.org/wmt10/",0d9a1c73077952d65c9c27550853f07a8fa164fd,Using Bilingual Parallel Corpora for Cross-Lingual Textual Entailment,2011,Yashar Mehdad; Matteo Negri; Marcello Federico,6ea4193bc13b1bdc1afcdbd53b4242f789f8aec5,Lexical Selection and Paraphrase in a Meaning-Text Generation Model,1991,L. Iordanskaja; R. Kittredge; A. Polguère
1521,J04-3001,External_62,[0],introduction,Current stateoftheart statistical parsers <TARGET_CITATION/> are all trained on large annotated corpora such as the Penn Treebank <CITATION/> .,"Many learning tasks for natural language processing require supervised training; that is, the system successfully learns a concept only if it has been given annotated training data. For example, while it is difficult to induce a grammar with raw text alone, the task is tractable when the syntactic analysis for each sentence is provided as a part of the training data <CITATION/>. Current stateoftheart statistical parsers <TARGET_CITATION/> are all trained on large annotated corpora such as the Penn Treebank <CITATION/> . Current stateoftheart statistical parsers <CITATION/> are all trained on large annotated corpora such as the Penn Treebank <CITATION/>. For example, while it is difficult to induce a grammar with raw text alone, the task is tractable when the syntactic analysis for each sentence is provided as a part of the training data <CITATION/>. Many learning tasks for natural language processing require supervised training; that is, the system successfully learns a concept only if it has been given annotated training data.",6c70170f55b7e9c724b8c02db9c0f41c05254a3c,Sample Selection for Statistical Parsing,2004,R. Hwa,,headdriven statistical models for natural language parsing,1999,M Collins
1522,W06-2933,P05-1013,[0],method,"Although the parser only derives projective graphs , the fact that graphs are labeled allows nonprojective dependencies to be captured using the pseudoprojective approach of <TARGET_CITATION/> ."," RIGHTARC(r): Add an arc labeled r from top to next; push next onto the stack.  LEFTARC(r): Add an arc labeled r from next to top; pop the stack. Although the parser only derives projective graphs , the fact that graphs are labeled allows nonprojective dependencies to be captured using the pseudoprojective approach of <TARGET_CITATION/> . Although the parser only derives projective graphs, the fact that graphs are labeled allows nonprojective dependencies to be captured using the pseudoprojective approach of <CITATION/> .  LEFTARC(r): Add an arc labeled r from next to top; pop the stack. RIGHTARC(r): Add an arc labeled r from top to next; push next onto the stack.",f3719ad02a3164e87e5ef0b1de215354e4c9de92,Labeled Pseudo-Projective Dependency Parsing with Support Vector Machines,2006,Joakim Nivre; Johan Hall; Jens Nilsson; Gülşen Eryiğit; Svetoslav Marinov,b92c0e898b1fee243864176e18a2b50105be3e54,Pseudo-Projective Dependency Parsing,2005,Joakim Nivre; Jens Nilsson
1523,J97-4003,External_91306,[4],related work,Riehemann 1993 ; Oliva 1994 ; <TARGET_CITATION/> ; Opalka 1995 ; Sanfilippo 1995 ) .,"Lexical rules have not gone unchallenged as a mechanism for expressing generalizations over lexical information. In a number of proposals, lexical generalizations are captured using lexical underspecification <TARGET_CITATION/> . Riehemann 1993; Oliva 1994; Frank 1994; Opalka 1995; Sanfilippo 1995). In a number of proposals, lexical generalizations are captured using lexical underspecification (Kathol 1994; Krieger and Nerbonne 1992;Lexical rules have not gone unchallenged as a mechanism for expressing generalizations over lexical information.",d0dbffcb01f315774230a0450b2f4da8c6a608f7,A Computational Treatment of Lexical Rules in HPSG as Covariation in Lexical Entries,1997,Walt Detmar Meurers; Guido Minnen,2dc0b06f2ad00153a78bcf888b6a7b4c3a5e6916,Verb Second by Lexical Rule or by Underspecification,1994,A. Frank
1524,W06-3813,External_4542,[0],introduction,The idea resurfaced forcefully at several points in the more recent history of linguistic research <TARGET_CITATION/> .,The first chronicled endeavour to connect text elements and organise connections between them goes back to the 51h century B.C. and the work of Paninil. He was a grammarian who analysed Sanskrit <CITATION/>. The idea resurfaced forcefully at several points in the more recent history of linguistic research <TARGET_CITATION/> . The idea resurfaced forcefully at several points in the more recent history of linguistic research <CITATION/>. He was a grammarian who analysed Sanskrit <CITATION/>. The first chronicled endeavour to connect text elements and organise connections between them goes back to the 51h century B.C. and the work of Paninil.,f20ef3f9f3b5a42699d7da9fb273017b65e8bb28,Matching syntactic-semantic graphs for semantic relation assignment,2006,Vivi Nastase; Stan Szpakowicz,8c31301fb9f339e2b496a572a7933956d2260154,The Case for the Case,2016,J. Toomasian
1525,J02-3002,J97-2002,[0],introduction,A detailed introduction to the SBD problem can be found in <TARGET_CITATION/> .,"In certain cases, however, a period denotes a decimal point or is a part of an abbreviation, and thus it does not necessarily signal a sentence boundary. Furthermore, an abbreviation itself can be the last token in a sentence in which case its period acts at the same time as part of this abbreviation and as the endofsentence indicator (fullstop). A detailed introduction to the SBD problem can be found in <TARGET_CITATION/> . A detailed introduction to the SBD problem can be found in <CITATION/>. Furthermore, an abbreviation itself can be the last token in a sentence in which case its period acts at the same time as part of this abbreviation and as the endofsentence indicator (fullstop). In certain cases, however, a period denotes a decimal point or is a part of an abbreviation, and thus it does not necessarily signal a sentence boundary.",3d9db1146acd2da5ad7b85d81c737f9260576c37,"Periods, Capitalized Words, etc.",2002,Andrei Mikheev,30154464f549643e825ccf60072a17a3e55291d3,To Appear in Computational Linguistics Adaptive Multilingual Sentence Boundary Disambiguation,2004,D. Palmer; Marti A. Hearst
1526,W06-1639,External_17115,[0],introduction,"Task properties Determining whether or not a speaker supports a proposal falls within the realm of sentiment analysis , an extremely active research area devoted to the computational treatment of subjective or opinionoriented language ( early work includes <TARGET_CITATION/> ; see <CITATION/> for an active bibliography ) .","In this paper, we investigate the following specific instantiation of this problem: we seek to determine from the transcripts of U.S. Congressional floor debates whether each speech'' (continuous singlespeaker segment of text) represents support for or opposition to a proposed piece of legislation. Note that from an experimental point of view, this is a very convenient problem to work with because we can automatically determine ground truth (and thus avoid the need for manual annotation) simply by consulting publicly available voting records. Task properties Determining whether or not a speaker supports a proposal falls within the realm of sentiment analysis , an extremely active research area devoted to the computational treatment of subjective or opinionoriented language ( early work includes <TARGET_CITATION/> ; see <CITATION/> for an active bibliography ) . Task properties Determining whether or not a speaker supports a proposal falls within the realm of sentiment analysis, an extremely active research area devoted to the computational treatment of subjective or opinionoriented language (early work includes <CITATION/>; see <CITATION/> for an active bibliography). Note that from an experimental point of view, this is a very convenient problem to work with because we can automatically determine ground truth (and thus avoid the need for manual annotation) simply by consulting publicly available voting records. In this paper, we investigate the following specific instantiation of this problem: we seek to determine from the transcripts of U.S. Congressional floor debates whether each speech'' (continuous singlespeaker segment of text) represents support for or opposition to a proposed piece of legislation.",dc832b298290e316d1218266f6f33de97c9b5679,Get out the vote: Determining support or opposition from Congressional floor-debate transcripts,2006,Matt Thomas; B. Pang; Lillian Lee,829d1090da72af223944f7e576bbedaba53417c7,Tracking Point of View in Narrative,1994,Janyce Wiebe
1527,P10-4003,External_25453,[0],introduction,The BEETLE II system architecture is designed to overcome these limitations <TARGET_CITATION/> .,author a different remediation dialogue for every possible dialogue state. It also becomes more difficult to experiment with different tutorial policies within the system due to the inherent completixites in applying tutoring strategies consistently across a large number of individual handauthored remediations. The BEETLE II system architecture is designed to overcome these limitations <TARGET_CITATION/> . The BEETLE II system architecture is designed to overcome these limitations <CITATION/>. It also becomes more difficult to experiment with different tutorial policies within the system due to the inherent completixites in applying tutoring strategies consistently across a large number of individual handauthored remediations. author a different remediation dialogue for every possible dialogue state.,1b19897e1fabfc87093de93857cdfad7c8c8abe9,Beetle II: A System for Tutoring and Computational Linguistics Experimentation,2010,M. Dzikovska; Johanna D. Moore; Natalie B. Steinhauser; Gwendolyn E. Campbell; Elaine Farrow; Charles B. Callaway,4d92807ccaaa241d2b42dfbc48b14f9e488cedd0,The Beetle and BeeDiff tutoring systems,2007,Charles B. Callaway; M. Dzikovska; Elaine Farrow; Manuel Marques-Pita; C. Matheson; Johanna D. Moore
1528,E03-1004,External_8193,[2],introduction,For the evaluation of the results we use the BLEU score <TARGET_CITATION/> .,"The generation process consisting mainly of word reordering and lexical insertions is explained in Section 6, an example illustrating the generation steps is presented in Section 7. For the evaluation of the results we use the BLEU score <TARGET_CITATION/> . For the evaluation of the results we use the BLEU score <CITATION/>. tion 7. The generation process consisting mainly of word reordering and lexical insertions is explained in Section 6, an example illustrating the generation steps is presented in Sec",55559a2ee9693969d30237534ac290f4b0077a3a,Czech-English Dependency Tree-based Machine Translation,2003,Martin Cmejrek; J. Curín; Jirí Havelka,d7da009f457917aa381619facfa5ffae9329a6e9,Bleu: a Method for Automatic Evaluation of Machine Translation,2002,K. Papineni; Salim Roukos; T. Ward; Wei-Jing Zhu
1529,J09-4010,External_9392,[4],,There are very few reported attempts at corpusbased automation of helpdesk responses <TARGET_CITATION/> .,"In contrast, the techniques examined in this article are corpusbased and datadriven. The process of composing a planned response for a new request is informed by probabilistic and lexical properties of the requests and responses in the corpus. There are very few reported attempts at corpusbased automation of helpdesk responses <TARGET_CITATION/> . There are very few reported attempts at corpusbased automation of helpdesk responses <CITATION/>. The process of composing a planned response for a new request is informed by probabilistic and lexical properties of the requests and responses in the corpus. In contrast, the techniques examined in this article are corpusbased and datadriven.",a39cfe8ad45aebf7d6cb4f152a95d1187a9662d8,An Empirical Study of Corpus-Based Response Automation Methods for an E-mail-Based Help-Desk Domain,2009,Yuval Marom; Ingrid Zukerman,e1d2a76d5934b016f90447cb1940e2cc209f2b8f,Learning from Message Pairs for Automatic Email Answering,2004,S. Bickel; T. Scheffer
